 ----------------------------------------------------------------------
 ----------          Welcome to Topology Optimizer          -----------
 ----------------------------------------------------------------------
                                                                       
       Version 2020 R1 (Build: 154) from 20191203                       
                                                                       
       Copyright 2020 ANSYS Inc. All Rights Reserved               
                                                                       
 ----------------------------------------------------------------------
 
       Execution time: Fri Oct  2 09:02:13 2020

 ----------------------------------------------------------------------
 
   Parameter setting:
      solver                   = Scpip
      ansys version            = 2020 R1
      design elements          = OptimizationRegionElements.dat
      feedersystem list:
       - Static system 'Static42' with id 42: 1 load case(s) at t = 1
      penalty parameter        = 3
      initial response scaling = yes
      minimum member size      = 0
      maximum member size      = 0
      minimum density          = 0.001
      restart information      = final
      mapdl ncnv               = 1e+12
      maximum iteration        = 500
      acc                      = 0.001
      units                    = MPA
      output frequency         = 1
      max intermediate files   = 500
      objective 1              = total mass [1]
      constraint 1             = global stress for load step number 1 of feeder system 'Static42' with upper bound 100
      method                   = SCP
      acc scp                  = 1e-06
      version scp              = 402
      cut off in scp           = 1
      linear inequalities remain in active set in scp = selected always
      initial penalty scp      = 1
      asymptote strategy       = program controlled

 ----------------------------------------------------------------------
   Start generating constant data...
   ...done
   Start generating tree...
   ...finished.
   Start generating element neighborhood...
    10 Percent done
    20 Percent done
    30 Percent done
    40 Percent done
    50 Percent done
    60 Percent done
    70 Percent done
    80 Percent done
    90 Percent done
   100 Percent done
   ...finished.
   Starting Ansys...
   Asymptote strategy applied: adaptive
 
  INITIAL SUMMARY
  ---------------
  Objective(s):
    [  1] Name: Objective
          Value : 1.70502e-01
 
  Constraint(s):
    [  1] Name: Global Von-Mises Stress Constraint
                             Value: 5.61551e+02 <= UB: 1.00000e+02  Deviation: 461.551 % NOTE: This is an approximation to the actual value: 518.857. The bound is not satisfied.
 
  Iter :  number of iterations
  #LS  :  number of line search iterations
  #ME  :  number of model evaluations

                                         max relative
                                         deviation of
                         objective       constraints     convergence
   Iter  #LS     #ME     measurement     in %            criterion
     71    2      91     9.02901e-01     3.30542e+02     3.30593e+00
     72    1      92     9.03402e-01     3.30453e+02     3.30508e+00
     73    1      93     9.03591e-01     3.30447e+02     3.30468e+00
     74    2      95     9.03486e-01     3.30443e+02     3.30454e+00
     75    1      96     9.03399e-01     3.30336e+02     3.30346e+00
     76    2      98     9.03463e-01     3.30319e+02     3.30326e+00
     77    2     100     9.03632e-01     3.30315e+02     3.30333e+00
     78    2     102     9.03617e-01     3.30312e+02     3.30313e+00
   Restart performed 
     79    2     104     9.03748e-01     3.36321e+02     3.36336e+00
     80    2     106     9.04194e-01     3.35104e+02     3.35154e+00
     81    2     108     9.04091e-01     3.34193e+02     3.34205e+00
     82    2     110     9.03228e-01     3.33460e+02     3.33555e+00
     83    1     111     9.05269e-01     3.33478e+02     3.33704e+00
     84    1     112     9.01398e-01     3.33294e+02     3.33721e+00
     85    2     114     9.02293e-01     3.32560e+02     3.32660e+00
     86    1     115     9.03801e-01     3.32557e+02     3.32724e+00
     87    1     116     9.02849e-01     3.31960e+02     3.32065e+00
     88    2     118     9.03378e-01     3.31823e+02     3.31881e+00
     89    1     119     9.03452e-01     3.31757e+02     3.31765e+00
     90    2     121     9.03498e-01     3.31691e+02     3.31696e+00
     91    2     123     9.03567e-01     3.31682e+02     3.31690e+00
     92    1     124     9.03667e-01     3.31590e+02     3.31601e+00
     93    2     126     9.03610e-01     3.31584e+02     3.31590e+00
     94    2     128     9.03699e-01     3.31555e+02     3.31565e+00
     95    2     130     9.03698e-01     3.31554e+02     3.31554e+00
     96    2     132     9.03709e-01     3.31550e+02     3.31552e+00
     97    2     134     9.03753e-01     3.31550e+02     3.31555e+00
     98    2     136     9.03738e-01     3.31549e+02     3.31551e+00
     99    2     138     9.03808e-01     3.31548e+02     3.31556e+00
   Restart performed 
    100    1     139     9.03588e-01     3.33429e+02     3.33453e+00
    101    3     142     9.03612e-01     3.32713e+02     3.32716e+00
    102    3     145     9.03767e-01     3.32299e+02     3.32316e+00
    103    2     147     9.03208e-01     3.32184e+02     3.32246e+00
    104    1     148     9.05291e-01     3.31559e+02     3.31790e+00
    105    1     149     9.01124e-01     3.31492e+02     3.31952e+00
    106    1     150     9.04059e-01     3.31236e+02     3.31561e+00
    107    2     152     9.02877e-01     3.30900e+02     3.31031e+00
    108    2     154     9.03113e-01     3.30855e+02     3.30881e+00
    109    1     155     9.03094e-01     3.30838e+02     3.30840e+00
    110    2     157     9.03044e-01     3.30829e+02     3.30835e+00
   Restart performed 
    111    2     159     9.03197e-01     3.33134e+02     3.33151e+00
    112    3     162     9.03328e-01     3.32681e+02     3.32695e+00
    113    3     165     9.03450e-01     3.32461e+02     3.32475e+00
    114    2     167     9.02580e-01     3.31827e+02     3.31923e+00
    115    2     169     9.03165e-01     3.31785e+02     3.31849e+00
    116    2     171     9.03192e-01     3.31771e+02     3.31774e+00
    117    1     172     9.03518e-01     3.31639e+02     3.31675e+00
    118    2     174     9.03358e-01     3.31620e+02     3.31638e+00
    119    1     175     9.03535e-01     3.31530e+02     3.31549e+00
    120    2     177     9.03380e-01     3.31487e+02     3.31504e+00
    121    2     179     9.03508e-01     3.31484e+02     3.31498e+00
    122    2     181     9.03519e-01     3.31483e+02     3.31484e+00
    123    2     183     9.03546e-01     3.31483e+02     3.31486e+00
   Restart performed 
    124    1     184     9.03740e-01     3.31769e+02     3.31790e+00
    125    3     187     9.03761e-01     3.31482e+02     3.31484e+00
    126    3     190     9.03853e-01     3.31428e+02     3.31438e+00
    127    2     192     9.02939e-01     3.31258e+02     3.31359e+00
    128    2     194     9.03427e-01     3.31242e+02     3.31296e+00
    129    2     196     9.03481e-01     3.31237e+02     3.31243e+00
    130    1     197     9.03687e-01     3.31201e+02     3.31224e+00
    131    1     198     9.03350e-01     3.31197e+02     3.31234e+00
    132    2     200     9.03296e-01     3.31181e+02     3.31187e+00
    133    2     202     9.03430e-01     3.31177e+02     3.31192e+00
   Restart performed 
    134    1     203     9.03530e-01     3.30434e+02     3.30445e+00
    135    3     206     9.03794e-01     3.30420e+02     3.30450e+00
    136    3     209     9.03861e-01     3.30416e+02     3.30424e+00
    137    3     212     9.03723e-01     3.30416e+02     3.30431e+00
   Restart performed 
    138    3     215     9.03763e-01     3.31853e+02     3.31858e+00
    139    2     217     9.04399e-01     3.31559e+02     3.31629e+00
    140    3     220     9.04356e-01     3.31365e+02     3.31369e+00
    141    2     222     9.03187e-01     3.31272e+02     3.31401e+00
