 ----------------------------------------------------------------------
 ----------          Welcome to Topology Optimizer          -----------
 ----------------------------------------------------------------------
                                                                       
       Version 2020 R1 (Build: 154) from 20191203                       
                                                                       
       Copyright 2020 ANSYS Inc. All Rights Reserved               
                                                                       
 ----------------------------------------------------------------------
 
       Execution time: Fri Oct  2 09:02:13 2020

 ----------------------------------------------------------------------
 
   Parameter setting:
      solver                   = Scpip
      ansys version            = 2020 R1
      design elements          = OptimizationRegionElements.dat
      feedersystem list:
       - Static system 'Static42' with id 42: 1 load case(s) at t = 1
      penalty parameter        = 3
      initial response scaling = yes
      minimum member size      = 0
      maximum member size      = 0
      minimum density          = 0.001
      restart information      = final
      mapdl ncnv               = 1e+12
      maximum iteration        = 500
      acc                      = 0.001
      units                    = MPA
      output frequency         = 1
      max intermediate files   = 500
      objective 1              = total mass [1]
      constraint 1             = global stress for load step number 1 of feeder system 'Static42' with upper bound 100
      method                   = SCP
      acc scp                  = 1e-06
      version scp              = 402
      cut off in scp           = 1
      linear inequalities remain in active set in scp = selected always
      initial penalty scp      = 1
      asymptote strategy       = program controlled

 ----------------------------------------------------------------------
   Start generating constant data...
   ...done
   Start generating tree...
   ...finished.
   Start generating element neighborhood...
    10 Percent done
    20 Percent done
    30 Percent done
    40 Percent done
    50 Percent done
    60 Percent done
    70 Percent done
    80 Percent done
    90 Percent done
   100 Percent done
   ...finished.
   Starting Ansys...
   Asymptote strategy applied: adaptive
 
  INITIAL SUMMARY
  ---------------
  Objective(s):
    [  1] Name: Objective
          Value : 1.70502e-01
 
  Constraint(s):
    [  1] Name: Global Von-Mises Stress Constraint
                             Value: 5.61551e+02 <= UB: 1.00000e+02  Deviation: 461.551 % NOTE: This is an approximation to the actual value: 518.857. The bound is not satisfied.
 
  Iter :  number of iterations
  #LS  :  number of line search iterations
  #ME  :  number of model evaluations

                                         max relative
                                         deviation of
                         objective       constraints     convergence
   Iter  #LS     #ME     measurement     in %            criterion
    288    2     469     9.02928e-01     3.28252e+02     3.28782e+00
    289    1     470     9.03077e-01     3.27566e+02     3.27582e+00
   Restart performed 
    290    2     472     9.02921e-01     3.30615e+02     3.30632e+00
    291    3     475     9.03236e-01     3.30595e+02     3.30630e+00
    292    3     478     9.03342e-01     3.30588e+02     3.30599e+00
    293    3     481     9.03081e-01     3.30585e+02     3.30614e+00
   Restart performed 
    294    2     483     9.03327e-01     3.32372e+02     3.32399e+00
    295    2     485     9.03271e-01     3.31229e+02     3.31235e+00
    296    2     487     9.03693e-01     3.31014e+02     3.31061e+00
    297    2     489     9.02483e-01     3.31026e+02     3.31160e+00
    298    2     491     9.03462e-01     3.30791e+02     3.30899e+00
    299    1     492     9.03240e-01     3.30759e+02     3.30783e+00
    300    2     494     9.03268e-01     3.30716e+02     3.30720e+00
    301    1     495     9.03594e-01     3.30711e+02     3.30748e+00
   Restart performed 
    302    2     497     9.03532e-01     3.31460e+02     3.31467e+00
    303    3     500     9.03693e-01     3.31457e+02     3.31475e+00
    304    2     502     9.04880e-01     3.31332e+02     3.31463e+00
    305    2     504     9.03868e-01     3.31196e+02     3.31308e+00
    306    2     506     9.03755e-01     3.31183e+02     3.31196e+00
    307    2     508     9.03774e-01     3.31179e+02     3.31181e+00
    308    2     510     9.03748e-01     3.31176e+02     3.31179e+00
   Restart performed 
    309    2     512     9.03891e-01     3.31804e+02     3.31820e+00
    310    2     514     9.04148e-01     3.31446e+02     3.31475e+00
    311    2     516     9.04265e-01     3.31221e+02     3.31234e+00
    312    2     518     9.03523e-01     3.31084e+02     3.31166e+00
    313    2     520     9.04006e-01     3.31078e+02     3.31131e+00
    314    1     521     9.02875e-01     3.30931e+02     3.31056e+00
    315    1     522     9.03707e-01     3.30804e+02     3.30896e+00
    316    2     524     9.03378e-01     3.30772e+02     3.30809e+00
    317    1     525     9.03517e-01     3.30768e+02     3.30784e+00
   Restart performed 
    318    1     526     9.03337e-01     3.30139e+02     3.30159e+00
    319    4     530     9.03346e-01     3.30132e+02     3.30133e+00
    320    3     533     9.03566e-01     3.30116e+02     3.30141e+00
    321    3     536     9.03419e-01     3.30115e+02     3.30131e+00
    322    2     538     9.03699e-01     3.30113e+02     3.30144e+00
   Restart performed 
    323    1     539     9.02984e-01     3.27333e+02     3.27412e+00
    324    2     541     9.04372e-01     3.27179e+02     3.27333e+00
    325    3     544     9.04175e-01     3.27153e+02     3.27174e+00
    326    2     546     9.03613e-01     3.27135e+02     3.27197e+00
   Restart performed 
    327    2     548     9.03867e-01     3.32421e+02     3.32449e+00
    328    2     550     9.03652e-01     3.31181e+02     3.31205e+00
    329    2     552     9.03963e-01     3.30906e+02     3.30941e+00
    330    2     554     9.03439e-01     3.30877e+02     3.30935e+00
    331    2     556     9.03581e-01     3.30678e+02     3.30693e+00
    332    2     558     9.03757e-01     3.30672e+02     3.30691e+00
    333    1     559     9.03420e-01     3.30587e+02     3.30625e+00
    334    1     560     9.03407e-01     3.30576e+02     3.30577e+00
    335    1     561     9.03153e-01     3.30381e+02     3.30409e+00
    336    1     562     9.03231e-01     3.30369e+02     3.30378e+00
    337    1     563     9.03015e-01     3.30278e+02     3.30302e+00
    338    2     565     9.03134e-01     3.30260e+02     3.30273e+00
    339    1     566     9.03768e-01     3.30250e+02     3.30320e+00
    340    2     568     9.03633e-01     3.30241e+02     3.30256e+00
   Restart performed 
    341    2     570     9.03727e-01     3.31498e+02     3.31508e+00
    342    3     573     9.03865e-01     3.31478e+02     3.31493e+00
    343    4     577     9.03899e-01     3.31473e+02     3.31477e+00
    344    2     579     9.03164e-01     3.31464e+02     3.31545e+00
    345    2     581     9.03582e-01     3.31454e+02     3.31501e+00
    346    1     582     9.03799e-01     3.31403e+02     3.31427e+00
    347    1     583     9.02908e-01     3.31355e+02     3.31454e+00
    348    2     585     9.02850e-01     3.31241e+02     3.31248e+00
    349    1     586     9.03464e-01     3.31205e+02     3.31273e+00
    350    1     587     9.03404e-01     3.31037e+02     3.31044e+00
    351    1     588     9.03697e-01     3.31019e+02     3.31052e+00
    352    2     590     9.03557e-01     3.31013e+02     3.31028e+00
    353    2     592     9.03706e-01     3.31009e+02     3.31026e+00
   Restart performed 
    354    2     594     9.03736e-01     3.31714e+02     3.31717e+00
    355    3     597     9.03939e-01     3.31652e+02     3.31675e+00
    356    3     600     9.03992e-01     3.31647e+02     3.31652e+00
    357    1     601     8.96910e-01     3.31221e+02     3.32004e+00
    358    2     603     9.00124e-01     3.30316e+02     3.30675e+00
    359    2     605     9.00790e-01     3.30022e+02     3.30096e+00
    360    1     606     9.02825e-01     3.29916e+02     3.30142e+00
    361    2     608     9.02543e-01     3.29857e+02     3.29889e+00
    362    1     609     9.02992e-01     3.29839e+02     3.29889e+00
   Restart performed 
    363    2     611     9.03040e-01     3.31745e+02     3.31751e+00
    364    2     613     9.04671e-01     3.31698e+02     3.31879e+00
    365    3     616     9.04539e-01     3.31487e+02     3.31502e+00
    366    2     618     9.03628e-01     3.31426e+02     3.31527e+00
    367    2     620     9.03508e-01     3.31333e+02     3.31347e+00
    368    1     621     9.03596e-01     3.31244e+02     3.31254e+00
    369    1     622     9.03105e-01     3.31213e+02     3.31267e+00
    370    2     624     9.02981e-01     3.31148e+02     3.31162e+00
    371    1     625     9.03523e-01     3.31133e+02     3.31193e+00
   Restart performed 
    372    1     626     9.03217e-01     3.30012e+02     3.30046e+00
    373    3     629     9.03702e-01     3.29994e+02     3.30048e+00
    374    3     632     9.03849e-01     3.29991e+02     3.30007e+00
    375    3     635     9.03754e-01     3.29991e+02     3.30001e+00
   Restart performed 
    376    2     637     9.03800e-01     3.32079e+02     3.32084e+00
    377    3     640     9.03864e-01     3.31900e+02     3.31907e+00
    378    4     644     9.03882e-01     3.31795e+02     3.31797e+00
    379    2     646     9.03084e-01     3.31728e+02     3.31816e+00
    380    2     648     9.03509e-01     3.31712e+02     3.31759e+00
    381    1     649     9.03696e-01     3.31512e+02     3.31533e+00
    382    2     651     9.03382e-01     3.31430e+02     3.31465e+00
    383    1     652     9.03696e-01     3.31373e+02     3.31407e+00
    384    2     654     9.03600e-01     3.31364e+02     3.31374e+00
    385    1     655     9.03535e-01     3.31149e+02     3.31156e+00
    386    1     656     9.03947e-01     3.31135e+02     3.31181e+00
    387    1     657     9.03391e-01     3.31043e+02     3.31105e+00
    388    1     658     9.03777e-01     3.31026e+02     3.31069e+00
    389    1     659     9.03310e-01     3.30838e+02     3.30890e+00
    390    1     660     9.03776e-01     3.30814e+02     3.30865e+00
    391    1     661     9.03430e-01     3.30696e+02     3.30735e+00
    392    1     662     9.03926e-01     3.30668e+02     3.30723e+00
    393    1     663     9.03441e-01     3.30557e+02     3.30611e+00
    394    1     664     9.03868e-01     3.30537e+02     3.30584e+00
    395    2     666     9.03745e-01     3.30533e+02     3.30547e+00
    396    2     668     9.03810e-01     3.30532e+02     3.30539e+00
   Restart performed 
    397    1     669     9.03898e-01     3.30027e+02     3.30037e+00
    398    3     672     9.03987e-01     3.30014e+02     3.30024e+00
    399    3     675     9.04130e-01     3.30009e+02     3.30025e+00
    400    3     678     9.04009e-01     3.30009e+02     3.30022e+00
   Restart performed 
    401    2     680     9.04112e-01     3.31963e+02     3.31975e+00
    402    2     682     9.03639e-01     3.30966e+02     3.31018e+00
    403    2     684     9.04146e-01     3.30691e+02     3.30747e+00
    404    2     686     9.03526e-01     3.30671e+02     3.30740e+00
    405    1     687     9.03443e-01     3.30125e+02     3.30135e+00
    406    1     688     9.02885e-01     3.29709e+02     3.29771e+00
    407    1     689     9.01362e-01     3.29093e+02     3.29262e+00
    408    1     690     9.03620e-01     3.28440e+02     3.28691e+00
    409    2     692     9.02383e-01     3.28297e+02     3.28434e+00
    410    1     693     9.03138e-01     3.28235e+02     3.28319e+00
   Restart performed 
    411    2     695     9.02999e-01     3.31573e+02     3.31588e+00
    412    3     698     9.03369e-01     3.31551e+02     3.31592e+00
    413    3     701     9.03472e-01     3.31548e+02     3.31560e+00
    414    2     703     9.02827e-01     3.31289e+02     3.31360e+00
    415    2     705     9.03249e-01     3.31277e+02     3.31324e+00
    416    1     706     9.03626e-01     3.31179e+02     3.31221e+00
    417    1     707     9.03042e-01     3.30957e+02     3.31021e+00
    418    2     709     9.03110e-01     3.30918e+02     3.30926e+00
    419    1     710     9.03469e-01     3.30898e+02     3.30937e+00
    420    2     712     9.03575e-01     3.30890e+02     3.30902e+00
    421    2     714     9.03622e-01     3.30887e+02     3.30892e+00
    422    2     716     9.03711e-01     3.30885e+02     3.30895e+00
   Restart performed 
    423    2     718     9.03733e-01     3.31458e+02     3.31460e+00
    424    4     722     9.03778e-01     3.31457e+02     3.31462e+00
    425    3     725     9.03955e-01     3.31457e+02     3.31476e+00
    426    2     727     9.02981e-01     3.31189e+02     3.31297e+00
    427    2     729     9.03693e-01     3.31167e+02     3.31245e+00
    428    1     730     9.03668e-01     3.30873e+02     3.30875e+00
    429    2     732     9.03329e-01     3.30584e+02     3.30622e+00
    430    1     733     9.03581e-01     3.30562e+02     3.30589e+00
    431    1     734     9.03311e-01     3.30476e+02     3.30506e+00
    432    1     735     9.03240e-01     3.30459e+02     3.30467e+00
    433    2     737     9.03219e-01     3.30444e+02     3.30446e+00
    434    2     739     9.03455e-01     3.30439e+02     3.30465e+00
   Restart performed 
    435    1     740     9.03445e-01     3.30356e+02     3.30357e+00
    436    3     743     9.03797e-01     3.30338e+02     3.30377e+00
    437    3     746     9.03887e-01     3.30336e+02     3.30345e+00
    438    3     749     9.03815e-01     3.30336e+02     3.30343e+00
   Restart performed 
    439    3     752     9.03845e-01     3.31788e+02     3.31791e+00
    440    2     754     9.04594e-01     3.31257e+02     3.31340e+00
    441    3     757     9.04384e-01     3.30810e+02     3.30833e+00
    442    2     759     9.03339e-01     3.30748e+02     3.30864e+00
    443    2     761     9.03861e-01     3.30736e+02     3.30794e+00
    444    1     762     9.02914e-01     3.30041e+02     3.30146e+00
    445    1     763     9.03291e-01     3.29835e+02     3.29877e+00
    446    1     764     9.02709e-01     3.29599e+02     3.29664e+00
    447    1     765     9.03315e-01     3.29495e+02     3.29562e+00
    448    2     767     9.02925e-01     3.29458e+02     3.29501e+00
    449    1     768     9.03198e-01     3.29441e+02     3.29471e+00
   Restart performed 
    450    2     770     9.03262e-01     3.30868e+02     3.30875e+00
    451    3     773     9.03432e-01     3.30863e+02     3.30882e+00
    452    3     776     9.03570e-01     3.30861e+02     3.30877e+00
    453    3     779     9.03505e-01     3.30861e+02     3.30868e+00
   Restart performed 
    454    2     781     9.03655e-01     3.31993e+02     3.32010e+00
    455    2     783     9.03895e-01     3.31635e+02     3.31661e+00
    456    2     785     9.04033e-01     3.31448e+02     3.31463e+00
    457    2     787     9.03278e-01     3.31406e+02     3.31489e+00
    458    2     789     9.03473e-01     3.31396e+02     3.31418e+00
   Restart performed 
    459    2     791     9.03642e-01     3.31685e+02     3.31703e+00
    460    3     794     9.03656e-01     3.31570e+02     3.31572e+00
    461    3     797     9.03792e-01     3.31568e+02     3.31583e+00
    462    2     799     9.03025e-01     3.31385e+02     3.31470e+00
    463    2     801     9.03662e-01     3.31365e+02     3.31436e+00
    464    1     802     9.03152e-01     3.30712e+02     3.30769e+00
    465    1     803     9.03464e-01     3.30594e+02     3.30629e+00
    466    2     805     9.03251e-01     3.30558e+02     3.30582e+00
    467    1     806     9.03482e-01     3.30552e+02     3.30578e+00
   Restart performed 
    468    2     808     9.03500e-01     3.31391e+02     3.31393e+00
    469    3     811     9.03712e-01     3.31389e+02     3.31412e+00
    470    4     815     9.03781e-01     3.31388e+02     3.31395e+00
    471    2     817     9.03080e-01     3.31269e+02     3.31347e+00
    472    2     819     9.03619e-01     3.31255e+02     3.31315e+00
    473    1     820     9.03729e-01     3.30754e+02     3.30767e+00
    474    1     821     9.03013e-01     3.30734e+02     3.30813e+00
    475    2     823     9.02952e-01     3.30663e+02     3.30670e+00
    476    1     824     9.03487e-01     3.30640e+02     3.30699e+00
   Restart performed 
    477    2     826     9.03534e-01     3.31833e+02     3.31838e+00
    478    3     829     9.03654e-01     3.31681e+02     3.31694e+00
    479    3     832     9.03827e-01     3.31679e+02     3.31698e+00
    480    2     834     9.03073e-01     3.31415e+02     3.31499e+00
    481    2     836     9.03574e-01     3.31403e+02     3.31458e+00
    482    2     838     9.03615e-01     3.31399e+02     3.31404e+00
    483    1     839     9.03962e-01     3.31372e+02     3.31410e+00
    484    2     841     9.03808e-01     3.31353e+02     3.31370e+00
    485    1     842     9.03623e-01     3.31344e+02     3.31364e+00
    486    1     843     9.03646e-01     3.31239e+02     3.31242e+00
    487    2     845     9.03529e-01     3.31230e+02     3.31242e+00
    488    2     847     9.03697e-01     3.31226e+02     3.31245e+00
    489    2     849     9.03720e-01     3.31226e+02     3.31228e+00
   Restart performed 
    490    2     851     9.03812e-01     3.31761e+02     3.31771e+00
    491    2     853     9.04359e-01     3.30764e+02     3.30824e+00
    492    2     855     9.04350e-01     3.30606e+02     3.30607e+00
    493    2     857     9.03743e-01     3.30576e+02     3.30643e+00
    494    2     859     9.03966e-01     3.30563e+02     3.30588e+00
   Restart performed 
    495    2     861     9.03844e-01     3.31220e+02     3.31233e+00
    496    3     864     9.03978e-01     3.31217e+02     3.31232e+00
    497    4     868     9.04031e-01     3.31217e+02     3.31222e+00
    498    1     869     8.96382e-01     3.30616e+02     3.31462e+00
    499    1     870     9.08204e-01     3.30079e+02     3.31397e+00
    500    2     872     9.02548e-01     3.28824e+02     3.29447e+00
 
 *** ERROR ***
 Scp did not converge within maximum number of iterations.
 
 
  FINAL SUMMARY
  -------------
  Number of iterations: 500
  Total number of model evaluations: 872

  Objective(s):
    [  1] Name: Objective
          Value : 1.53886e-01
 
  Constraint(s):
    [  1] Name: Global Von-Mises Stress Constraint
                             Value: 4.28824e+02 <= UB: 1.00000e+02  Deviation: 328.824 % NOTE: This is an approximation to the actual value: 434.591. The bound is not satisfied.
 
 *** WARNING ***
 The final iterate does not satisfy all constraints (see summary above).
 You can now relax the violated constraints and restart from the given iterate
 by entering RELOAD_DENSITY=TRUE.
 
 ----------------------------------------------------------------------
 --> Topology Optimizer finished with errors
     Total time:  0h 48m 53s
     CPU time:    0h 2m 5s
     Peak Memory: 50508 K
     I/O Read:    22277231308 Bytes
     I/O Write:   605272121 Bytes
 ----------------------------------------------------------------------
